number,value,datetime_start,datetime_complete,duration,params_aux_weight,params_dropout,params_focal_alpha,params_focal_gamma,params_lr,params_warmup_ratio,params_weight_decay,state
0,0.5205479452054794,2026-03-04 01:42:02.096922,2026-03-04 01:58:28.512620,0 days 00:16:26.415698,0.4887783918378541,0.2050026889116689,0.835319985074407,2.365085126463734,3.1486208187537545e-05,0.07791167849658887,0.001857625513203596,COMPLETE
1,0.5121951219512195,2026-03-04 01:58:28.514276,2026-03-04 02:14:54.696954,0 days 00:16:26.182678,0.31007545743867565,0.25203216506129655,0.8002808140181212,1.03921746789601,6.168525396812074e-06,0.05221856501768345,0.001302054343358039,COMPLETE
2,0.5508982035928144,2026-03-04 02:14:54.698590,2026-03-04 02:31:20.005470,0 days 00:16:25.306880,0.05416432353969669,0.2555105754207849,0.7564673969807376,1.7559525538896228,4.220013592611256e-05,0.17865423948100767,0.08876598072536068,COMPLETE
3,0.36363636363636365,2026-03-04 02:31:20.006964,2026-03-04 02:36:01.473616,0 days 00:04:41.466652,0.1791548614233931,0.23107169284685725,0.7523105263187072,2.440398163340137,3.923600874780884e-05,0.15701194000373803,0.09124411156927269,PRUNED
4,0.4567901234567901,2026-03-04 02:36:01.475004,2026-03-04 02:40:40.908313,0 days 00:04:39.433309,0.24506472843764043,0.13913964839703236,0.7785248916024592,1.780012804830422,4.0668302096160686e-05,0.13884390687007114,0.05456975947244145,PRUNED
5,0.5205479452054794,2026-03-04 02:40:40.910151,2026-03-04 02:52:19.128895,0 days 00:11:38.218744,0.449532206571282,0.21806883166541197,0.6903003664903382,3.21256450424759,2.8193440217537918e-05,0.07586551959949085,0.046035199816907825,COMPLETE
6,0.46296296296296297,2026-03-04 02:52:19.130354,2026-03-04 02:56:57.013133,0 days 00:04:37.882779,0.1031833236379293,0.26465991806446065,0.8285094329505974,1.9260650309039167,1.8212827643990866e-05,0.08832659738765344,0.014052229522732333,PRUNED
7,0.5125,2026-03-04 02:56:57.014794,2026-03-04 03:05:52.431170,0 days 00:08:55.416376,0.3730579948738505,0.21289184076798984,0.8335793977779735,1.2762875061918382,6.0038910190202415e-06,0.09199674517241296,0.001793603541702077,PRUNED
8,0.4588235294117647,2026-03-04 03:05:52.432658,2026-03-04 03:14:47.852603,0 days 00:08:55.419945,0.12460300303459595,0.15123675861656977,0.7812859064196245,2.212261025715982,1.9688564668708352e-05,0.10205773251265149,0.008158385573733083,PRUNED
9,0.39436619718309857,2026-03-04 03:14:47.854565,2026-03-04 03:19:15.617566,0 days 00:04:27.763001,0.35842650510635726,0.16241896893771934,0.6593775777923718,3.906662039503178,5.168158306747953e-06,0.07041505170419886,0.07839974849074571,PRUNED
10,0.4229390681003584,2026-03-04 03:19:15.619188,2026-03-04 03:23:43.411541,0 days 00:04:27.792353,0.05149734387119881,0.2961940564227335,0.8834966581523288,3.0739881686413892,1.0166816836092046e-05,0.19963695468536904,0.017570354127753415,PRUNED
11,0.47058823529411764,2026-03-04 03:23:43.413248,2026-03-04 03:32:38.770722,0 days 00:08:55.357474,0.4779970251288634,0.10050771809069921,0.7295922684509465,2.915956665222548,4.671077196555138e-05,0.17792644713259986,0.005450598923629841,PRUNED
12,0.4842105263157895,2026-03-04 03:32:38.772436,2026-03-04 03:41:33.935540,0 days 00:08:55.163104,0.23836832576918723,0.18629743392501613,0.8899963707543775,1.6184109822193036,2.7091193364914394e-05,0.11753696515157169,0.002492235168714084,PRUNED
13,0.4694835680751174,2026-03-04 03:41:33.937124,2026-03-04 03:46:01.564155,0 days 00:04:27.627031,0.41113914936047746,0.2853386961718785,0.834891318505909,2.177102168820339,2.8587414552425363e-05,0.14082280996817884,0.0037719737853248543,PRUNED
14,0.5423728813559322,2026-03-04 03:46:01.565662,2026-03-04 04:06:04.556290,0 days 00:20:02.990628,0.1796231757052179,0.18842681488286273,0.7246772722511603,2.510477041845296,1.0193371583605694e-05,0.17012625051119318,0.02620366702546891,COMPLETE
15,0.0,2026-03-04 04:06:04.557797,2026-03-04 04:10:32.208314,0 days 00:04:27.650517,0.16478353084202887,0.24649448809950897,0.7242290925597823,2.7984087532708575,1.1242998495478328e-05,0.17720327223914714,0.02209279792878191,PRUNED
16,0.46938775510204084,2026-03-04 04:10:32.210164,2026-03-04 04:14:59.841091,0 days 00:04:27.630927,0.06006750436183814,0.1840093263070262,0.696397441205149,1.4720741002540698,1.114980586827262e-05,0.19319840576538932,0.03294135394345871,PRUNED
17,0.5287356321839081,2026-03-04 04:14:59.842698,2026-03-04 04:28:22.162711,0 days 00:13:22.320013,0.19384573960876253,0.2714311249709873,0.742415270609885,3.5668244727652882,1.3952297398593683e-05,0.15895470550972512,0.03228853379869213,COMPLETE
18,0.42857142857142855,2026-03-04 04:28:22.164423,2026-03-04 04:32:49.843315,0 days 00:04:27.678892,0.10981740517387212,0.12837124924655874,0.7035168954207697,1.988279234506411,7.600893187034213e-06,0.17548376535805596,0.009119059813780615,PRUNED
19,0.45714285714285713,2026-03-04 04:32:49.844919,2026-03-04 04:37:17.596619,0 days 00:04:27.751700,0.14908658676767875,0.1811387831197046,0.6530337287573725,2.6689931532156925,8.872988864359548e-06,0.15927463025620317,0.05633375188067151,PRUNED
