number,value,datetime_start,datetime_complete,duration,params_aux_weight,params_batch_size,params_dropout,params_focal_alpha,params_focal_gamma,params_lr,params_pos_weight,params_warmup_ratio,params_weight_decay,state
10,0.5345622119815668,2026-03-03 01:49:46.839815,2026-03-03 02:06:12.189306,0 days 00:16:25.349491,0.20850616797878074,8,0.2353935847917742,0.6743794739593725,1.9325037853713278,9.369660122293643e-06,4.899396498322559,0.06026766800253997,0.013746804058051353,COMPLETE
11,,2026-03-03 02:06:12.190937,2026-03-03 02:06:57.915824,0 days 00:00:45.724887,0.19275812486282212,8,0.23804247714639004,0.672014987757717,1.9752803469249518,1.089919726109504e-05,4.897780072746136,0.05420450350509255,0.013717367310822114,FAIL
12,,2026-03-03 02:07:08.099724,2026-03-03 02:07:12.607965,0 days 00:00:04.508241,0.18970565429673714,8,0.2371627585906647,0.6756717565240945,1.9161178012464366,1.0631401668995003e-05,4.999605019720064,0.05203277007498091,0.013814566786953223,FAIL
13,0.5023696682464455,2026-03-03 02:07:16.609068,2026-03-03 02:16:25.891797,0 days 00:09:09.282729,0.18897266624452558,8,0.23669980709818103,0.6836337642977185,1.9800552964451092,1.0323674630582183e-05,4.934705150536356,0.05802054487082223,0.0159397208789604,PRUNED
14,0.32195121951219513,2026-03-03 02:16:25.893523,2026-03-03 02:20:53.510231,0 days 00:04:27.616708,0.20864128777967025,8,0.2563192284121878,0.6520665445461176,1.9524992278954654,1.1414049755118729e-05,4.899458499342622,0.10250604098604327,0.012374888573627344,PRUNED
15,0.48322147651006714,2026-03-03 02:20:53.511942,2026-03-03 02:29:48.865279,0 days 00:08:55.353337,0.18796691163613174,8,0.22416704857128486,0.6310079121660075,1.7280560685860344,9.387655001391602e-06,4.0732412951095025,0.0560387078041638,0.01742358679284411,PRUNED
16,0.4935064935064935,2026-03-03 02:29:48.867055,2026-03-03 02:38:43.993653,0 days 00:08:55.126598,0.2722134058689156,8,0.29583127131821046,0.7082680258372686,0.8866117321158264,1.2979963147380943e-05,4.225658720561094,0.09289912246528806,0.09006683380222615,PRUNED
17,0.5204081632653061,2026-03-03 02:38:43.995072,2026-03-03 02:49:52.729284,0 days 00:11:08.734212,0.49540276874561284,8,0.2103524378419037,0.6108725884717274,1.8286745327969653,8.344665485327132e-06,4.337426412251956,0.05305130919155788,0.006239698351310101,COMPLETE
18,0.5429864253393665,2026-03-03 02:49:52.730884,2026-03-03 03:03:14.790704,0 days 00:13:22.059820,0.2541511432737149,8,0.2467669688105428,0.9997843915678227,1.628998599058309,1.6052824293633118e-05,3.4146980772723343,0.11656655184607605,0.0021085685510462762,COMPLETE
19,0.5221674876847291,2026-03-03 03:03:14.792519,2026-03-03 03:18:49.987626,0 days 00:15:35.195107,0.3234104077156911,8,0.27119547128170585,0.9904917739348899,1.5649765102802968,1.5474002215393103e-05,3.300951978487218,0.11936593703334171,0.0016389381623423348,COMPLETE
