model_name,lr,wd,max_len,epochs,dropout,alpha,gamma,value,state,trial_number
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.861304748193363,4.74253447675377,0.4605678233438486,COMPLETE,0
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.665447722327043,2.4545232321634733,0.46060606060606063,COMPLETE,1
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.5123281806171556,1.9777445120477148,0.5356371490280778,COMPLETE,0
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,9,0.0,0.1089485004859345,1.046242460955649,0.4904632152588556,COMPLETE,1
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,9,0.0,0.7228672236957432,1.2117784206193536,0.5,COMPLETE,2
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.12869009676097568,1.4756047653906417,0.5113122171945701,COMPLETE,3
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.7387089359809591,1.4069623824684356,0.48554913294797686,COMPLETE,4
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.33107582384407513,3.3642719571255073,0.48148148148148145,COMPLETE,5
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.6776165746807815,1.295708557826367,0.5257985257985258,COMPLETE,6
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.34895895716644265,3.2977784294568306,0.5126760563380282,COMPLETE,7
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,9,0.0,0.3127701926507539,1.3864616634613964,0.5021645021645021,COMPLETE,8
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.6331589622023861,3.23164780107928,0.5,COMPLETE,9
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.5120170640849205,2.3989453763854534,0.4620253164556962,COMPLETE,10
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.5454663314205902,2.111035937550704,0.3722627737226277,COMPLETE,11
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.558110360877537,1.9197787221729181,0.4972067039106145,COMPLETE,12
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.4508917125675066,1.9241203656028858,0.535796766743649,COMPLETE,13
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.4596949945487944,2.753592780282492,0.49732620320855614,COMPLETE,14
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.40757668347322346,1.8833245158942424,0.4729064039408867,COMPLETE,15
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.25078334649858014,3.890533005163047,0.5217391304347826,COMPLETE,16
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,9,0.0,0.44839465197469885,2.555121985406459,0.44745762711864406,COMPLETE,17
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.5961920796613482,1.772983903697678,0.40390879478827363,COMPLETE,18
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.2028633249534021,2.2543920563938555,0.5053763440860215,COMPLETE,19
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.4002657904891856,2.8280640020386265,0.4581005586592179,COMPLETE,20
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.6650616201353219,1.6578641001173928,0.4819277108433735,COMPLETE,21
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.4952633678405396,2.1208197720609396,0.49859943977591037,COMPLETE,22
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.6742539692160157,1.5469228576075507,0.49363867684478374,COMPLETE,23
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.5869787465665014,1.1045832272957279,0.4744744744744745,COMPLETE,24
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.5003389924733807,2.038128652158365,0.3741496598639456,COMPLETE,25
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,7,0.0,0.6362599905606232,1.7277148898566574,0.49162011173184356,COMPLETE,26
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.42701664661257377,2.4416630522532463,0.44686648501362397,COMPLETE,27
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,8,0.0,0.3768297737711504,1.2683121126139147,0.4306784660766962,COMPLETE,28
albert-base-v2,1.4205892126825735e-05,0.0008072537435151,128,9,0.0,0.5401253549821036,1.6566718234747242,0.523943661971831,COMPLETE,29
